País,Entidad,Tipo convocatoria,Título,Links pdf,Link,id_proy_viejo,ID Proyecto,Fecha
Chile,Conicyt,Subsidios,"X CONCURSO DE EQUIPAMIENTO CIENTÍFICO Y TECNOLÓGICO – FONDEQUIP, REGIÓN DE O’HIGGINS, AÑO 2019",", https://www.conicyt.cl/regional/files/2019/10/Rex-N_9741-Aprueba-Bases-X-Concurso-FONDEQUIP-Regional_15_10_19.pdf, https://www.conicyt.cl/regional/files/2019/10/Rex_N_11075-Modifica-Bases-X-Concurso-FONDEQUIP-Regional-25_11_19.pdf, https://www.conicyt.cl/regional/files/2019/10/1_Propuesta-FONDEQUIP-Regional-2019.docx, https://www.conicyt.cl/regional/files/2019/10/2_Carta-de-Compromiso-Institucional_FONDEQUIP-Regional-2019.doc, https://www.conicyt.cl/regional/files/2019/10/3_a-Presupuesto-Regional-2019_Privadas.xlsx, https://www.conicyt.cl/regional/files/2019/10/3_b-Presupuesto-Regional-2019_Publicas.xlsx, https://www.conicyt.cl/regional/files/2019/10/4_Cotizaciones-y-Detalle-Ppto-Regional-2019.xlsx, https://www.conicyt.cl/regional/files/2019/10/5_Carta-de-Participacion-Institucion-Externa_FONDEQUIP-Regional-2019.doc, https://www.conicyt.cl/regional/files/2019/10",https://www.conicyt.cl/regional/2019/10/17/x-concurso-de-equipamiento-cientifico-y-tecnologico-fondequip-region-de-ohiggins-ano-2019/,text377.txt,text11.txt,2019
Chile,Conicyt,Subsidios,"INSERCIÓN EN INVESTIGACIÓN, MODALIDAD CONTINUACIÓN VINCULACIÓN PREVIA 2018",", https://www.conicyt.cl/pai/files/2018/01/Bases-ISP.pdf, https://www.conicyt.cl/pai/files/2018/01/Carta-de-Compromiso-Entidad-Postulante.doc, https://www.conicyt.cl/pai/files/2018/01/Carta-de-Compromiso-del-Investigador.docx, https://www.conicyt.cl/pai/files/2018/01/Disciplinas-OCDE.pdf, https://www.conicyt.cl/pai/files/2018/01/Formulario-Postulacion-ISP-Modalidad-Continuacion-Vinculacion-Previa-2018.doc",https://www.conicyt.cl/pai/2018/01/26/insercion-en-investigacion-modalidad-continuacion-vinculacion-previa-2018/,text378.txt,text12.txt,2019
Chile,Conicyt,Subsidios,MODALIDAD CONTINUIDAD DE INVESTIGACION,", https://www.conicyt.cl/pai/files/2017/01/Res-Ex-1735_2017-Bases-ISP_.pdf, https://www.conicyt.cl/pai/files/2017/11/Carta-de-Compromiso-Entidad-Postulante.doc, https://www.conicyt.cl/pai/files/2017/11/Carta-de-Compromiso-del-Investigador.docx, https://www.conicyt.cl/pai/files/2017/11/Formulario-Postulacion-ISP-Modalidad-Continuidad-de-Investigacion2017.doc",https://www.conicyt.cl/pai/2017/11/27/modalidad-continuidad-de-investigacion/,text379.txt,text13.txt,2019
Chile,Conicyt,Investigación-Innovación,CONCURSO PARA PROYECTOS DE INVESTIGACIÓN CONJUNTA CONICYT – SOCIEDAD MAX PLANCK 2019,", https://www.conicyt.cl/pci/files/2019/05/res5529-2019bases-MPG.pdf, https://www.conicyt.cl/pci/files/2019/05/Preguntas-Frecuentes.pdf",https://www.conicyt.cl/pci/2019/05/concurso-para-proyectos-de-investigacion-conjunta-conicyt-sociedad-max-planck-2019/,text25.txt,text14.txt,2019
Chile,Conicyt,Difusión y divulgación científica,XXIII CONCURSO NACIONAL DE PROYECTOS EXPLORA PARA ELABORACIÓN DE PRODUCTOS DE DIVULGACIÓN DE LAS CIENCIAS Y LA TECNOLOGÍA 2019-2020,", https://www.conicyt.cl/explora/files/2019/06/REX-6193_2019-Bases-ED23-2019-2020.pdf, https://www.conicyt.cl/explora/files/2019/06/6836-Modifica-Resolucion-exenta.pdf, https://www.conicyt.cl/explora/files/2019/05/ANEXO-N1-ED23-Carta-Compromiso-Institucion-Beneficiaria-Personas-Juridicas.doc, https://www.conicyt.cl/explora/files/2019/05/ANEXO-N2-ED23-Carta-Compromiso-Institucion-Patrocinante-Personas-Naturales.doc, https://www.conicyt.cl/explora/files/2019/05/ANEXO-N3-ED23-Carta-Compromiso-Instituciones-Asociadas.doc, https://www.conicyt.cl/explora/files/2019/06/Formulario-de-Actualizacion-Institucion_es.docx, https://www.conicyt.cl/explora/files/2019/06/Manual-SPL-CONCURSO-XXIII.pdf, https://www.conicyt.cl/explora/files/2019/06/Formulario-Postulacion-ED23_04-06-2019.xlsx, https://www.conicyt.cl/explora/files/2019/06/Formato-Convenio-XXIII.pdf, https://www.conicyt.cl/explora/files/2019/06/Manual-de-Rendicion-de-Cuentas-XXIII-de-Proyectos.pdf, https://www.conicyt.cl/explora/files/2019/06/PREGUNTAS-FRECUENTES-XXIII-CONCURSO-DE-PROYECTOS-EXPLORA_v1.pdf",https://www.conicyt.cl/explora/xxiii-concurso-nacional-de-proyectos-explora-para-elaboracion-de-productos-de-divulgacion-de-las-ciencias-y-la-tecnologia-2019-2020/,text578.txt,text15.txt,2020
Chile,Conicyt,Investigación-Innovación,Concurso MATH AmSud Convocatoria Nacional 2019,", https://s3.amazonaws.com/documentos.anid.cl/pci/2019/math/REX-6495-2019_aprueba-bases-Concurso-MATH-AMSUD-2019.pdf",https://www.conicyt.cl/pci/2019/06/concurso-math-amsud-convocatoria-nacional-2019/,text26.txt,text16.txt,2019
Chile,Conicyt,Investigación-Innovación,Concurso STIC AmSud Convocatoria Nacional 2019,", https://s3.amazonaws.com/documentos.anid.cl/pci/2019/stic/REX-6504-2019_aprueba-bases-Concurso-STIC-AMSUD-2019.pdf",https://www.conicyt.cl/pci/2019/06/concurso-stic-amsud-convocatoria-nacional-2019/,text27.txt,text17.txt,2019
Chile,Conicyt,Investigación-Innovación,CONCURSO REGULAR FONDECYT 2020,", https://www.conicyt.cl/fondecyt/files/2019/05/Bases-Concurso-FONDECYT-Regular-2020.pdf, https://www.conicyt.cl/fondecyt/files/2019/05/Valores-referenciales-CONVOCATORIAS-2019.pdf, https://www.conicyt.cl/fondecyt/files/2019/05/Convenio-INACH-CONICYT.pdf, https://www.conicyt.cl/fondecyt/files/2019/05/Formulario-Apoyo-Terreno-INACH_FORE-LO.doc, https://www.conicyt.cl/fondecyt/files/2019/05/Disciplinas-y-Sectores-de-Aplicacion-Fondecyt-2019.pdf, https://www.conicyt.cl/fondecyt/files/2019/05/Declaracion-de-Singapur-.pdf, https://www.conicyt.cl/fondecyt/files/2019/05/Singapore-Statement.pdf, https://www.conicyt.cl/fondecyt/files/2019/05/ESPAGNOL_2020REG.rar, https://www.conicyt.cl/fondecyt/files/2019/05/INGLES_2020REG.rar, https://www.conicyt.cl/fondecyt/files/2019/05/PREGUNTAS-FRECUENTES-REGULAR-2020_FDP_LFF.docx",https://www.conicyt.cl/fondecyt/2019/05/13/concurso-regular-fondecyt-2020/,text28.txt,text18.txt,2020
Chile,Conicyt,Investigación-Innovación,V CONCURSO DE ACCIÓN REGIONAL PARA EL DESARROLLO TERRITORIAL MEDIANTE PROYECTOS DE I+D COLABORATIVA CON PYMES,", https://www.conicyt.cl/regional/files/2019/05/Bases-V-AR-2019.pdf, https://www.conicyt.cl/regional/files/2019/05/REX-5401-19-Bases-V-Accion-Regional-.pdf, https://www.conicyt.cl/regional/files/2019/05/INSTRUCTIVO-GENERAL-RC-2019-PRegional-VF-Aprob-DAF.pdf, ",https://www.conicyt.cl/regional/2019/05/06/v-concurso-de-accion-regional-para-el-desarrollo-territorial-mediante-proyectos-de-id-colaborativa-con-pymes/,text29.txt,text19.txt,2019
Chile,Conicyt,Investigación-Innovación,IX CONCURSO DE VINCULACIÓN CIENCIA EMPRESA,", https://www.conicyt.cl/regional/files/2019/05/Bases-IX-VCE-2019.pdf, https://www.conicyt.cl/regional/files/2019/05/REX-570-19-Bases-IX-Vinculacion-Ciencia-Empresa.pdf, https://www.conicyt.cl/regional/files/2019/05/INSTRUCTIVO-GENERAL-RC-2019-PRegional-VF-Aprob-DAF.pdf, https://www.conicyt.cl/regional/files/2019/05/Preguntas-frecuentes-VCE_002.docx",https://www.conicyt.cl/regional/2019/05/06/ix-concurso-de-vinculacion-ciencia-empresa/,text30.txt,text20.txt,2019
Chile,Conicyt,Formación,"XIII Concurso de Proyectos de Diplomado Regional en Temas de Ciencia, Tecnología e Innovación",", https://s3.amazonaws.com/documentos.anid.cl/rec/2019/xiii-diplomado-cti/BasesXIII_Diplomado2019_SinResolucion.pdf, https://s3.amazonaws.com/documentos.anid.cl/rec/2019/xiii-diplomado-cti/Res5415_BasesXIII_ConcursoProyectosDiplomado.pdf",https://www.conicyt.cl/regional/2019/05/06/xiii-concurso-de-proyectos-de-diplomado-regional-en-temas-de-ciencia-tecnologia-e-innovacion/,text612.txt,text21.txt,2019
Chile,Conicyt,Subsidios,CONCURSO DE APOYO A LA FORMACIÓN DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACIÓN 2019,", https://www.conicyt.cl/pci/files/2019/05/REX-5492-2019_-aprueba-bases-Concurso-REDES-2019.pdf, https://www.conicyt.cl/pci/files/2019/05/Disciplinas-OECD.pdf, https://www.conicyt.cl/pci/files/2019/05/Application-Form-REDES-2019.docx, https://www.conicyt.cl/pci/files/2019/05/Annex-Budget-Proposal-2019.xls, https://www.conicyt.cl/pci/files/2019/06/PREGUNTAS-FRECUENTES-REDES-2019-_7junio.pdf",https://www.conicyt.cl/pci/2019/05/concurso-de-apoyo-a-la-formacion-de-redes-internacionales-entre-centros-de-investigacion-2019/,text380.txt,text22.txt,2019
Chile,Conicyt,Subsidios,"CONCURSO NACIONAL DE ATRACCIÓN DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADÍAS CORTAS (MEC) CONVOCATORIA 2019",", https://www.conicyt.cl/pci/files/2019/05/RESOLUCION-EXENTA-N5491-BASES-MEC2019.pdf, https://www.conicyt.cl/pci/files/2019/05/Formulario-Postulacion-MEC-2019-06-06-2019.doc, https://www.conicyt.cl/pci/files/2019/04/Carta_de_Compromiso_Institucion_Asociada_MEC-2019.doc, https://www.conicyt.cl/pci/files/2019/05/Carta_Compromiso_Institucion_Albergante_MEC-2019.doc, https://www.conicyt.cl/pci/files/2019/04/Carta_Compromiso_Cientifico_MEC-2019.doc, https://www.conicyt.cl/pci/files/2019/05/PREGUNTAS-FRECUENTES-MEC-2019.pdf",https://www.conicyt.cl/pci/2019/05/concurso-nacional-de-atraccion-de-capital-humano-avanzado-del-extranjero-modalidad-estadias-cortas-mec-convocatoria-2019/,text381.txt,text23.txt,2019
Chile,Conicyt,Formación,CONVOCATORIA CATÁLOGO CULTURA CTI 2019-2020,", https://www.conicyt.cl/explora/files/2019/05/5687-Aprueba-bases-CTI.pdf, https://www.conicyt.cl/explora/files/2019/05/Formulario-Postulacion-CTI-_16-05-2019.docx, https://www.conicyt.cl/explora/files/2019/05/MANUAL-DE-POSTULACION-CTI.pdf, https://www.conicyt.cl/explora/files/2019/05/ANEXO-1-CV-Normalizado.docx, https://www.conicyt.cl/explora/files/2019/05/ANEXO-2-Carta-Compromiso-Institucion-Beneficiaria-Personas-Juridicas.doc, https://www.conicyt.cl/explora/files/2019/05/Preguntas-Frecuentes-Catalogo-CTI_03-06-2019.pdf",https://www.conicyt.cl/explora/convocatoria-catalogo-cultura-cti-2019-2020/,text613.txt,text24.txt,2020
Chile,Conicyt,Investigación-Innovación,Concurso para proyectos de Investigación Conjunta CONICYT Chile - FAPESP del estado de Sao Paulo 2019,", https://s3.amazonaws.com/documentos.anid.cl/pci/2019/FAPESP/REX-5193-aprueba-bases-concurso-CONICYT-FAPESP-2019-op.pdf",https://www.conicyt.cl/pci/2019/04/concurso-para-proyectos-de-investigacion-conjunta-conicyt-chile-fapesp-del-estado-de-sao-paulo-2019/,text31.txt,text25.txt,2020
Chile,Conicyt,Investigación-Innovación,CONCURSO NACIONAL DE TESIS DE DOCTORADO EN EL SECTOR PRODUCTIVO – SEGUNDA CONVOCATORIA 2019,", https://www.conicyt.cl/pai/files/2019/04/Bases-Tesis-de-Doctorado.pdf, https://www.conicyt.cl/pai/files/2019/04/Formulario-Postulacion-Modalidad-1-Tesis-de-Doctorado-2019.docx, https://www.conicyt.cl/pai/files/2019/04/Formulario-Postulacion-Modalidad-2-Vinculacion-Previa-Tesis-2019.docx, https://www.conicyt.cl/pai/files/2019/04/Carta-de-compromiso-Modalidad-1-Tesis-de-Doctorado-2019.doc, https://www.conicyt.cl/pai/files/2019/04/Carta-de-compromiso-Modalidad-2-Vinculacion-Previa-Tesis-2019.doc, https://www.conicyt.cl/pai/files/2019/04/Convenio-colaboracion-conjunta-Tesis-de-Doctorado-2019.doc, https://www.conicyt.cl/pai/files/2019/04/Curriculum-Vitae-Mentor-Entidad-Patrocinante-2019.docx, https://www.conicyt.cl/pai/files/2019/04/Declaracion-Jurada-Tesista-de-Doctorado.doc, https://www.conicyt.cl/pai/files/2019/04/Preguntas-frecuentes.-1.pdf",https://www.conicyt.cl/pai/2019/04/17/concurso-nacional-de-tesis-de-doctorado-en-el-sector-productivo-segunda-convocatoria-2019/,text32.txt,text26.txt,2020
Chile,Conicyt,Subsidios,CONCURSO NACIONAL INSERCIÓN DE CAPITAL HUMANO AVANZADO EN EL SECTOR PRODUCTIVO – SEGUNDA CONVOCATORIA 2019,", https://www.conicyt.cl/pai/files/2019/04/Bases-Insercion-en-el-Sector-Productivo-2019.pdf, https://www.conicyt.cl/pai/files/2019/04/Formulario-Postulacion-ISP-Insercion-en-Investigacion-2019.doc, https://www.conicyt.cl/pai/files/2019/04/Formulario-postulacion-ISP-Vinculacion-Previa-2019.doc, https://www.conicyt.cl/pai/files/2019/04/Carta-de-Compromiso-del-Doctor-a.docx, https://www.conicyt.cl/pai/files/2019/04/Carta-de-Compromiso-Entidad-Postulante.doc, https://www.conicyt.cl/pai/files/2019/04/Preguntas-frecuentes.pdf",https://www.conicyt.cl/pai/2019/04/17/concurso-nacional-insercion-de-capital-humano-avanzado-en-el-sector-productivo-segunda-convocatoria-2019/,text382.txt,text27.txt,2020
Chile,Conicyt,Investigación-Innovación,CONCURSO PARA PROYECTOS DE INVESTIGACIÓN CONJUNTA EN CHILE Y CHINA 2019,", https://www.conicyt.cl/pci/files/2019/04/STATEMENT-OF-PRIOR-INFORMED-CONSENT_final.docx, https://www.conicyt.cl/pci/files/2019/04/PRESUPUESTO-CONCURSO-CONICYT-NSF-CHINA-2019.xls, https://www.conicyt.cl/pci/files/2019/04/Detailing-Joint-Project-NSFC-CONICYT.FINAL_.docx, https://www.conicyt.cl/pci/files/2019/04/Carta.patrocinio.-China.doc, https://www.conicyt.cl/pci/files/2019/04/REX.5097.2019.del_.16.04.2019.Bases_.NSCF_.China_.pdf, https://www.conicyt.cl/pci/files/2019/04/Preguntas.frecuentes.Chile-NSFC.China-2019.doc",https://www.conicyt.cl/pci/2019/04/concurso-para-proyectos-de-investigacion-conjunta-en-chile-y-china-2019/,text33.txt,text28.txt,2020
Chile,Conicyt,Subsidios,Programa de Cooperación Científica ECOS – CONICYT Concurso de Proyectos de Intercambio Convocatoria 2019,", https://s3.amazonaws.com/documentos.anid.cl/pci/2019/ecos/Bases-ECOS-CONICYT-2019.pdf",https://www.conicyt.cl/pci/2019/04/programa-de-cooperacion-cientifica-ecos-conicyt-concurso-de-proyectos-de-intercambio-convocatoria-2019/,text383.txt,text29.txt,2019
Chile,Conicyt,Subsidios,"CONCURSO DE APOYO A LA COOPERACIÓN EN INVESTIGACIÓN CHILE-PERÚ, REDES DE INVESTIGACIÓN EN BIOTECNOLOGÍA – CONVOCATORIA 2019",", https://www.conicyt.cl/pci/files/2019/04/REX-5106-ARPUEBA-BASES-CONCURSO-PER%C3%9A.16.04.2019.pdf, https://www.conicyt.cl/pci/files/2019/04/ANEXO-PRESUPUESTO-CONCYTEC-CONICYT-.xls, https://www.conicyt.cl/pci/files/2019/04/Formulario-de-postulacion-convocatoria-CONICYT-CONCYTEC.doc, https://www.conicyt.cl/pci/files/2019/04/Preguntas-Frecuentes-CONICYT-CONCYTEC.pdf",https://www.conicyt.cl/pci/2019/04/concurso-de-apoyo-a-la-cooperacion-en-investigacion-chile-peru-redes-de-investigacion-en-biotecnologia-convocatoria-2019/,text384.txt,text30.txt,2019
Chile,Conicyt,Subsidios,VI CONCURSO DE FORTALECIMIENTO Y DESARROLLO DE CENTROS REGIONALES DE DESARROLLO CIENTÍFICO Y TECNOLÓGICO 2019,", https://www.conicyt.cl/regional/files/2019/04/09-19-R_AFECTA-E_T.pdf, https://www.conicyt.cl/regional/files/2019/04/Formulario-de-Postulacion-2019.docx, https://www.conicyt.cl/regional/files/2019/04/Tabla-Resultados_Seccion_3c.xlsx, https://www.conicyt.cl/regional/files/2019/04/Tabla-de-Resultados-y-Metas_Seccion_6b.xlsx, https://www.conicyt.cl/regional/files/2019/04/Presupuesto-Total_Seccion_7.xlsx, https://www.conicyt.cl/regional/files/2019/04/Preguntas-frecuentes_VI_Concurso-de-Fort-y-Desarrollo.docx, https://www.conicyt.cl/regional/files/2019/04/CARTA-COMPROMISO.docx, https://www.conicyt.cl/regional/files/2019/04/CARTA-COMPROMISO-REP-LEGAL.docx, https://www.conicyt.cl/regional/files/2019/04/CARTA-COMPROMISO-DIRECTOR-DIR-ALTERNO.docx, https://www.conicyt.cl/regional/files/2019/04/RES-6135_2019-prorroga-VI-Concurso-2019.pdf",https://www.conicyt.cl/regional/2019/04/08/vi-concurso-de-fortalecimiento-y-desarrollo-de-centros-regionales-de-desarrollo-cientifico-y-tecnologico-2019/,text385.txt,text31.txt,2019
Chile,Conicyt,Subsidios,CONCURSO ALMA-CONICYT 2019 PARA EL DESARROLLO DE LA ASTRONOMÍA CHILENA,", https://www.conicyt.cl/astronomia/files/2019/04/REX-5096-19-aprueba-Bases-ALMA-2019-1.pdf, https://docs.google.com/document/d/1v1FTL-ikvxEcxS5MqMQtjYHMvwzaT5jCJ0XNgjtYz4E/edit, https://docs.google.com/spreadsheets/d/1IWfSp368m7rVBxLHz0eCgAhdt4hmXHo8DOyMXb78JZE/edit?usp=sharing, https://www.conicyt.cl/astronomia/files/2019/04/Preguntas-Frecuentes-ALMA-2019-.pdf, https://www.conicyt.cl/astronomia/files/2019/04/CheckList-ALMA-CONICYT-2019.docx",https://www.conicyt.cl/astronomia/2019/04/17/concurso-alma-conicyt-2019/,text386.txt,text32.txt,2019
