,Gramas,ODS,,
55,agroalimentacion,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
56,agroalimentaria,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
57,agroalimentarias,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
58,agroalimentario,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
59,agroalimentarios,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
60,agroalimentos,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
61,agroambiental,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
62,agroambientales,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
63,agrobacterium,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
64,agrobiodiversidad,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
65,agrobiologia,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
66,agrobiotecnologia,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
67,agroclimaticas,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
68,agroclimatico,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
69,agroclimaticos,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
70,agroclimatologia,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
71,agroecologia,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
72,agroecologica,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
73,agroecologico,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
74,agroecosistemas,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
75,agroforestal,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
76,agroforestales,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
77,agroforesteria,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
82,agroinsumos,"industria, innovación e infraestructura",,
83,agrologistica,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
84,agrometeorologia,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
85,agronegocio,"industria, innovación e infraestructura",,
86,agronegocios,"industria, innovación e infraestructura",,
87,agronomia,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
88,agronomica,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
89,agronomicas,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
90,agronomico,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
91,agronomo,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
92,agropecuar,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
93,agropecuaria,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
94,agropecuarias,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
95,agropecuario,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
96,agropolis,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
97,agroquimica,"industria, innovación e infraestructura",,
98,agroquimicas,"industria, innovación e infraestructura",,
99,agroquimicos,"Hambre cero; Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras; Producción y consumo responsable",,
100,agua,Agua limpia y saneamiento,,
101,aguas,Agua limpia y saneamiento,,
102,aguila,Vida de ecosistemas terrestres,,
103,alcantarillados,Agua limpia y saneamiento,,
104,alcantarillas,Agua limpia y saneamiento,,
105,alcohol,"Industria, innovación e infraestructuras",,
106,alcoholica,"Industria, innovación e infraestructuras",,
107,alcoholicas,"Industria, innovación e infraestructuras",,
108,alcoholico,"Industria, innovación e infraestructuras",,
109,alcoholimetria,"Industria, innovación e infraestructuras",,
110,alergica,Salud y bienestar,,
111,algoritmo,"Industria, innovación e infraestructuras",,
112,algoritmicos,"Industria, innovación e infraestructuras",,
113,algoritmos,"Industria, innovación e infraestructuras",,
114,aliado,Alianza para lograr los objetivos,,
115,aliados,Alianza para lograr los objetivos,,
116,alianzas,Alianza para lograr los objetivos,,
117,alimentada,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
118,alimentaria,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
119,alimentarias,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
120,alimentario,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
121,alimentarios,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
122,alimenticia,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
123,alimenticias,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
124,alimenticio,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
125,alimenticios,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
126,alimento,Fin de la pobreza; Hambre cero; Ciudades y comunidades sostenibles; Reducción de desigualdades,,
127,almidon,Ciudades y comunidades sostenibles;  Hambre cero;  Fin de la pobreza,,
128,alogenico,Salud y bienestar,,
129,alumnas,Salud y bienestar,,
130,alzheimer,Salud y bienestar,,
131,amalgamacion,"Industria, innovación e infraestructuras",,
132,ambiental,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
133,ambientales,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
134,ambientalistas,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
135,ambientes,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
136,ambulancia,Salud y bienestar,,
137,ambulancias,Salud y bienestar,,
138,aminoacidos,Salud y bienestar,,
139,aminobenzaldehido,"Industria, innovación e infraestructuras",,
140,ampolletas,Salud y bienestar,,
141,anaerobia,Salud y bienestar,,
142,anaerobio,Salud y bienestar,,
143,anaerobios,Salud y bienestar,,
144,analfabeta,Educación de calidad,,
145,analfabetismo,Educación de calidad,,
146,analgesia,Salud y bienestar,,
147,anatomia,Salud y bienestar,,
148,anatomicas,Salud y bienestar,,
149,ancestral,"Paz, justicia e instituciones sólidas",,
150,andrologia,"Paz, justicia e instituciones sólidas",,
151,anestesicos,Salud y bienestar,,
152,anfibios,Vida de ecosistemas terrestres,,
153,anfotoricina,Salud y bienestar,,
154,angiospermas,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
155,animacion,"Trabajo decente y crecimiento económico; Industria, innovación e infraestructuras",,
156,animaciones,"Trabajo decente y crecimiento económico; Industria, innovación e infraestructuras",,
157,animal,Vida de ecosistemas terrestres; Vida submarina,,
158,animales,Vida de ecosistemas terrestres; Vida submarina,,
159,anthipertensiva,Salud y bienestar,,
160,antibacterial,Salud y bienestar,,
161,antibacteriales,Salud y bienestar,,
162,antibacteriana,Salud y bienestar,,
163,antibacterianas,Salud y bienestar,,
164,antibacteriano,Salud y bienestar,,
165,antibacterianos,Salud y bienestar,,
166,antibiopeliculas,Salud y bienestar,,
167,antibiotica,Salud y bienestar,,
168,antibioticos,Salud y bienestar,,
169,anticancerigena,Salud y bienestar,,
170,anticancerigenas,Salud y bienestar,,
171,anticoagulacion,Salud y bienestar,,
172,anticoagulante,Salud y bienestar,,
173,anticonceptivos,Salud y bienestar;  Igualdad de género,,
174,anticoral,Salud y bienestar,,
175,anticorrosivas,"industria, innovación e infraestructuras",,
176,anticorrupcion,"Paz, justicia e instituciones sólidas",,
177,anticuerpo,Salud y bienestar,,
178,antidiabetica,Salud y bienestar,,
179,antifosfolipido,Salud y bienestar,,
180,antifungica,Salud y bienestar,,
181,antigeno,Salud y bienestar,,
182,antigenos,Salud y bienestar,,
183,antihipertensiva,Salud y bienestar,,
184,antihistaminicos,Salud y bienestar,,
185,antiinflamatoria,Salud y bienestar,,
186,antiinflamatorio,Salud y bienestar,,
187,antileishmania,Salud y bienestar,,
188,antileishmanial,Salud y bienestar,,
189,antimetabolitos,Salud y bienestar,,
190,antimicrobial,Salud y bienestar,,
191,antimicrobiales,Salud y bienestar,,
192,antimicrobiana,Salud y bienestar,,
193,antimicrobianas,Salud y bienestar,,
194,antimicrobianos,Salud y bienestar,,
195,antinflamatorio,Salud y bienestar,,
196,antioxidante,Salud y bienestar,,
197,antiparasitaria,Salud y bienestar,,
198,antiparasitarios,Salud y bienestar,,
199,antipersona,"Paz, justicia e instituciones sólidas",,
200,antipersonales,"Paz, justicia e instituciones sólidas",,
201,antirretroviral,Salud y bienestar,,
202,antiseptico,Salud y bienestar,,
203,antisepticos,Salud y bienestar,,
204,antituberculosa,Salud y bienestar,,
205,antituberculosis,Salud y bienestar,,
206,antituberculoso,Salud y bienestar,,
207,antitumorales,Salud y bienestar,,
208,antiveneno,Salud y bienestar,,
209,antivenenos,Salud y bienestar,,
210,antivirales,Salud y bienestar,,
211,antivirulentos,Salud y bienestar,,
212,antivirus,Salud y bienestar,,
213,antropogenica,Acción por el clima,,
214,antropogenicas,Acción por el clima,,
215,antropolitica,"Paz, justicia e instituciones sólidas",,
216,apicultura,Ciudades y comunidades sostenibles;  Producción y consumo responsible,,
217,aplasica,Salud y bienestar,,
218,aprovechables,Energía asequible y no contaminante,,
219,arboles,Vida de ecosistemas terrestres,,
220,arboreas,Vida de ecosistemas terrestres,,
221,arbovirus,Salud y bienestar,,
222,armas,"Paz, justicia e instituciones sólidas",,
224,arrecifales,Vida submarina,,
225,arrecifes,Vida submarina,,
226,arritmias,Salud y bienestar,,
227,arritmogenicas,Salud y bienestar,,
228,arteritis,Salud y bienestar,,
229,arterivirus,Salud y bienestar,,
230,artesanal,"Trabajo decente y crecimiento económico; Industria, innovación e infraestructuras",,
231,artesanales,"Trabajo decente y crecimiento económico; Industria, innovación e infraestructuras",,
232,asamblea,"Paz, justicia e instituciones sólidas",,
233,asbestos,"industria, innovación e infraestructuras",,
234,aseptico,Salud y bienestar,,
235,asma,Salud y bienestar,,
236,asnos,Ciudades y comunidades sostenible,,
237,astrocitos,Salud y bienestar,,
238,atmosfera,Acción por el clima,,
239,atmosferica,Acción por el clima,,
240,atmosfericas,Acción por el clima,,
241,atmosferico,Acción por el clima,,
242,atmosfericos,Acción por el clima,,
243,audiologia,Salud y bienestar,,
244,auramina,Salud y bienestar,,
245,autista,Salud y bienestar,,
246,autobus,Ciudades y comunidades sostenibles,,
247,autoempleo,Trabajo decente y crecimiento económico,,
248,autoensamblables,"Industria, innovación e infraestructuras",,
249,autogestion,"Paz, justicia e instituciones sólidas",,
250,autoinmune,Salud y bienestar,,
251,autoinmunes,Salud y bienestar,,
252,autoinmunidad,Salud y bienestar,,
253,automoviles,Salud y bienestar,,
254,autosustentable,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
255,aviares,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
256,avicola,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
257,avicolas,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
258,avispas,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
259,azolicos,Salud y bienestar,,
260,azucarera,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
261,azucarero,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
262,azucareros,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
263,bacterial,Salud y bienestar,,
264,bacteriana,Salud y bienestar,,
265,bacterianos,Salud y bienestar,,
266,bactericida,Salud y bienestar,,
267,bacteriocinas,Salud y bienestar,,
268,bacteriofagos,Salud y bienestar,,
269,bacteriologia,Salud y bienestar,,
270,bacteriosis,Salud y bienestar,,
271,ballenas,Vida submarina,,
272,banano,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
273,basales,Salud y bienestar,,
274,baterias,Salud y bienestar,,
275,bexaroteno,Salud y bienestar,,
276,bicicleta,Ciudades y comunidades sostenibles,,
277,bicicletas,Ciudades y comunidades sostenibles,,
278,bilaterales,"Paz, justicia e instituciones sólidas",,
279,bilis,Salud y bienestar,,
280,bioabsorbible,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
281,bioabsorbibles,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
282,bioaceite,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
283,bioacumulacion,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
284,bioacusticas,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
285,bioaerosoles,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
286,bioalimentos,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
287,biocarbon,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
288,biocatalizadores,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
289,biocidas,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
290,biocombustibles,"Industria, innovación e infraestructuras",,
291,biocarburantes,"Industria, innovación e infraestructuras",,
292,biocomercio,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
293,biocompatibilidad,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
294,biocompatibles,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
295,biocompuesto,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
296,biocomunidad,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Paz, justicia e instituciones sólidas",,
297,bioconjugacion,Salud y bienestar,,
298,bioconjugados,Salud y bienestar,,
299,bioconversion,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
300,biocosmeticos,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
301,biocultural,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
302,biodegradabilidad,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
303,biodegradables,Ciudades y comunidades sostenibles,,
304,bioderecho,Ciudades y comunidades sostenibles,,
305,biodiagnostico,Salud y bienestar,,
306,biodigestores,Ciudades y comunidades sostenibles,,
307,biodiversidad,Ciudades y comunidades sostenibles,,
308,bioeconomia,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
309,bioelectrica,Ciudades y comunidades sostenibles;  Producción y consumo responsible;  Energía asequible y no contaminante ,, Energía asequible y no contaminante
310,bioelectricas,Ciudades y comunidades sostenibles;  Producción y consumo responsible;  Energía asequible y no contaminante ,, Energía asequible y no contaminante
311,bioelectroquimicos,Ciudades y comunidades sostenibles;   Agua limpia y saneamiento,,
312,bioenergetica,Salud y bienestar,,
313,bioespacios,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras",,
314,bioetica,"Ciudades y comunidades sostenibles; Paz, justicia e instituciones sólidas",,
315,bioetico,"Ciudades y comunidades sostenibles; Paz, justicia e instituciones sólidas",,
316,biofarmacos,Salud y bienestar,,
317,biofertilizante,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras;  Energía asequible y no contaminante",,
318,biofertilizantes,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras;  Energía asequible y no contaminante",,
319,biofibras,"Ciudades y comunidades sostenibles; Producción y consumo responsable; Industria, innovación e infraestructuras;  Energía asequible y no contaminante",,
320,bioforense,Ciudades y comunidades sostenibles,,
321,biofotonica,Ciudades y comunidades sostenibles;   Salud y bienestar,,
322,biogeofisico,Ciudades y comunidades sostenibles,,
323,biogeografico,Ciudades y comunidades sostenibles,,
324,biohidroingenieria,Agua limpia y saneamiento,,
325,biohidrometalurgia,Ciudades y comunidades sostenibles;  Producción y consumo responsible;  Energía asequible y no contaminante;   Agua limpia y saneamiento ,,
326,bioindustrias,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
327,bioinspirados,"Industria, innovación e infraestructuras",,
328,bioinstrumentacion,Salud y bienestar,,
329,biologico,"Salud y bienestar; Industria, innovación e infraestructuras",,
330,biomagnificacion,Vida de ecosistemas terrestres;  Vida submarina,,
331,biomas,Vida de ecosistemas terrestres;  Vida submarina,,
332,biomasa,Ciudades y comunidades sostenibles; Producción y consumo responsible,, Energía asequible y no contaminante
333,biomasas,Ciudades y comunidades sostenibles;  Producción y consumo responsible,, Energía asequible y no contaminante
334,biomaterial,"Industria, innovación e infraestructuras",,
335,biomateriales,"Industria, innovación e infraestructuras",,
336,biomecanico,"Industria, innovación e infraestructuras",,
337,biomecanicos,"Industria, innovación e infraestructuras",,
338,biomedica,Salud y bienestar,,
339,biomedico,Salud y bienestar,,
340,biomedicos,Salud y bienestar,,
341,biomimetica,"Industria, innovación e infraestructuras",,
342,biomimetico,"Industria, innovación e infraestructuras",,
343,biomimeticos,"Industria, innovación e infraestructuras",,
344,biomolecular,"Industria, innovación e infraestructuras",,
345,biomoleculas,"Industria, innovación e infraestructuras",,
346,biomonitoreo,Salud y bienestar,,
347,bionanotecnologia,"Industria, innovación e infraestructuras",,
348,bionegocios,"Ciudades y comunidades sostenibles; Industria, innovación e infraestructuras",,
349,bioplagicida,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
350,bioplaguicidas,Ciudades y comunidades sostenibles;  Producción y consumo responsable ,,
351,bioproductos,"Industria, innovación e infraestructuras",,
352,biopsicosocial,Salud y bienestar,,
353,biopsicosociales,Salud y bienestar,,
354,biorefinerias,"Industria, innovación e infraestructuras",,
355,bioremediacion,Agua limpia y saneamiento;  Ciudades y comunidades sostenibles,,
356,biorrefinacion,"Industria, innovación e infraestructuras",,
357,biorrefinerias,"Industria, innovación e infraestructuras",,
358,biorremediador,Ciudades y comunidades sostenibles,,
359,biosalud,Salud y bienestar,,
360,bioseguridad,Salud y bienestar,,
361,biosensor,Salud y bienestar,,
362,biosensoras,Salud y bienestar,,
363,biosimilares,Salud y bienestar,,
364,biosistemas,Ciudades y comunidades sostenibles,,
365,biosuperficies,"Industria, innovación e infraestructuras",,
366,biotecnologia,"Industria, innovación e infraestructuras",,
367,biotecnologias,"Industria, innovación e infraestructuras",,
368,biotecnologica,"Industria, innovación e infraestructuras",,
369,biotecnologicas,"Industria, innovación e infraestructuras",,
370,biotecnologico,"Industria, innovación e infraestructuras",,
371,biotecnologicos,"Industria, innovación e infraestructuras",,
372,biotipos,Ciudades y comunidades sostenibles;    Vida de ecosistemas terrestres;   Vida submarina,,
373,biotoxinas,Salud y bienestar,,
374,bitcoin,"Industria, innovación e infraestructuras",,
375,blockchain,"Industria, innovación e infraestructuras",,
376,bombillas,"Industria, innovación e infraestructuras",,
377,borojo,Producción y consumo responsable,,
378,bosques,Ciudades y comunidades sostenibles,,
379,botanica,Ciudades y comunidades sostenibles,,
380,botanicas,Ciudades y comunidades sostenibles,,
381,botanico,Ciudades y comunidades sostenibles,,
382,bovina,"Industria, innovación e infraestructuras",,
383,bovinos,"Industria, innovación e infraestructuras",,
384,brucelosis,Salud y bienestar,,
385,bucales,Salud y bienestar,,
386,bucodentales,Salud y bienestar,,
387,bufalos,"Industria, innovación e infraestructuras",,
388,bullying,"Paz, justicia e instituciones sólidas",,
389,burocratica,"Paz, justicia e instituciones sólidas",,
390,burocraticas,"Paz, justicia e instituciones sólidas",,
391,burocratico,"Paz, justicia e instituciones sólidas",,
392,burocraticos,"Paz, justicia e instituciones sólidas",,
393,cacao,Producción y consumo responsable,,
394,cacaos,Producción y consumo responsable,,
395,cacique,"Paz, justicia e instituciones sólidas",,
396,cafeteras,Producción y consumo responsable,,
397,cafeteros,Producción y consumo responsable,,
398,caficultores,Producción y consumo responsable,,
399,camaron,Producción y consumo responsable,,
400,cambioclimatico,Ciudades y comunidades sostenibles,,
401,campesina,Trabajo decente y crecimiento económico,,
402,campesinas,Trabajo decente y crecimiento económico,,
403,campesinos,Trabajo decente y crecimiento económico,,
404,cancerigeno,Salud y bienestar,,
405,cancerigenos,Salud y bienestar,,
406,cancerologia,Salud y bienestar,,
407,canceroso,Salud y bienestar,,
408,caninos,Vida de ecosistemas terrestres,,
409,cannabis,"Salud y bienestar; Paz, justicia e instituciones sólidas",,
410,caña,Producción y consumo responsable,,
411,cañadas,Agua limpia y saneamiento;   Ciudades y comunidades sostenibles,,
412,cañaveral,Producción y consumo responsable,,
413,cañaverales,Producción y consumo responsable,,
414,capacidades,Trabajo decente y crecimiento económico,,
415,capacitar,Trabajo decente y crecimiento económico,,
416,carbonizacion,"Industria, innovación e infraestructura; Ciudades y comunidades sostenibles; Acción por el clima",,
417,carburante,"Industria, innovación e infraestructura; Ciudades y comunidades sostenibles; Acción por el clima",,
418,carcinogenesis,Salud y bienestar,,
419,carcinogenicas,Salud y bienestar,,
420,carcinogenico,Salud y bienestar,,
421,carcinogenicos,Salud y bienestar,,
422,carcinogeno,Salud y bienestar,,
423,cardiacos,Salud y bienestar,,
424,cardio,Salud y bienestar,,
425,cardiobacterium,Salud y bienestar,,
426,cardiodiagnostico,Salud y bienestar,,
427,cardiologia,Salud y bienestar,,
428,cardiometabolico,Salud y bienestar,,
429,cardiomiopatia,Salud y bienestar,,
430,cardiopatias,Salud y bienestar,,
431,cardiorrespiratoria,Salud y bienestar,,
432,cardiovasculares,Salud y bienestar,,
433,cardiovirus,Salud y bienestar,,
434,carencias,Fin de la pobreza,,
435,carnicas,"Industria, innovación e infraestructuras",,
436,carnico,"Industria, innovación e infraestructuras",,
437,carnivoros,Vida submarina;   Vida de ecosistemas terrestres,,
438,carotenoides,Hambre cero;  Fin de la pobreza;  Salud y bienestar,,
439,carton,Ciudades y comunidades sostenibles,,
440,cataratas,Salud y bienestar,,
441,catedraticos,Educación de calidad,,
442,cefalosporinas,Salud y bienestar,,
443,cefazolina,Salud y bienestar,,
444,cefetero,producción y consumo responsable,,
445,cefeteros,producción y consumo responsable,,
446,celular,Salud y bienestar,,
447,celulas,Salud y bienestar,,
448,censura,"Paz, justicia e instituciones sólidas",,
449,cerebrovascular,Salud y bienestar,,
450,cerebrovasculares,Salud y bienestar,,
451,cervecera,"Industria, innovación e infraestructuras",,
452,cetaceos,Vida submarina,,
453,chocolates,"producción y consumo responsable; Industria, innovación e infraestructuras",,
454,cianotoxinas,Salud y bienestar;   Agua limpia y saneamiento,,
455,cibercultura,"Industria, innovación e infraestructuras",,
456,ciberespacio,"Industria, innovación e infraestructuras",,
457,ciberneticas,"Industria, innovación e infraestructuras",,
458,ciberneticos,"Industria, innovación e infraestructuras",,
459,ciclofosfamida,Salud y bienestar,,
460,cidadania,"Paz, justicia e instituciones sólidas",,
461,ciegos,Salud y bienestar,,
462,cigarrillo,"industria, innovación e infraestructuras",,
463,cinematografia,"Industria, innovación e infraestructuras",,
464,cinematografica,"Industria, innovación e infraestructuras",,
465,cinematograficas,"Industria, innovación e infraestructuras",,
466,cinematografico,"Industria, innovación e infraestructuras",,
467,citogenetica,Salud y bienestar,,
468,citogenetico,Salud y bienestar,,
469,citomegalovirus,Salud y bienestar,,
470,citoquinas,Salud y bienestar,,
